Model,MAE,RMSE,R2,MAPE
RandomForest,15705.437106208055,26646.147751051118,0.9114421022375532,0.08710152927092349
SVR,15119.524661356932,27555.194104749276,0.9052966407318451,0.08607150515627265
KernelRidge,15915.354655016357,28429.696280824217,0.8991901716603272,0.08953466499030353
